,player_name,yr_numerical,conf,TS_per,bpm,drafted
0,A'Torey Everett,2.0,OVC,50.08,-6.40612,0
1,A'Torri Shine,4.0,SWAC,47.61,-7.02713,0
2,A'Uston Calhoun,4.0,MAC,51.5,-3.12361,0
3,A'uston Calhoun,3.0,MAC,51.26,-2.27858,0
4,A.C. Reid,3.0,BSth,48.56,-3.3131,0
5,A.D. Vassallo,4.0,ACC,56.5,5.65291,0
6,A.J. Abrams,4.0,B12,54.32,6.14693,0
7,A.J. Astroth,4.0,MEAC,53.08,-1.6174,0
8,A.J. Avery,3.0,MAC,44.39,-3.07613,0
9,A.J. Banks,4.0,MWC,56.73,-2.24098,0
10,A.J. Bowers,1.0,SC,67.8,-5.0265,0
11,A.J. Caldwell,3.0,SC,51.94,2.05866,0
12,A.J. Cheeseman,4.0,MEAC,49.6,-6.04079,0
13,A.J. Cockrell,1.0,CUSA,44.26,-7.94881,0
14,A.J. Davis,4.0,CAA,60.55,2.30332,0
15,A.J. English,4.0,MAAC,59.76,6.59384,0
16,A.J. Gareri,1.0,MAC,37.97,-10.3433,0
17,A.J. Gasporra,2.0,Slnd,71.88,-6.39703,0
18,A.J. Hammons,4.0,B10,62.32,9.73587,1
19,A.J. Hardeman,4.0,MWC,46.61,1.29763,0
20,A.J. Harris,1.0,B10,44.08,-3.72843,0
21,A.J. Hawkins,4.0,MVC,46.18,1.41805,0
22,A.J. Hess,4.0,BSky,53.77,-6.26443,0
23,A.J. Hicks,4.0,OVC,46.49,-1.76556,0
24,A.J. Highsmith,4.0,SC,71.13,0.071813,0
25,A.J. Hoggard,1.0,B10,36.83,-2.25053,0
26,A.J. Holland,1.0,CUSA,37.51,-4.29607,0
27,A.J. Jacobson,4.0,Sum,64.14,1.85032,0
28,A.J. John,2.0,WCC,43.27,-3.7841,0
29,A.J. Jones,3.0,OVC,51.6,-3.25387,0
30,A.J. Lapray,4.0,CUSA,62.01,-1.1278,0
31,A.J. Lawson,4.0,Slnd,49.64,-4.95289,0
32,A.J. McGinnis,1.0,SC,51.95,-1.60788,0
33,A.J. Merriweather,4.0,SC,61.94,3.54914,0
34,A.J. Mosby,4.0,SWAC,60.79,0.732449,0
